"Members for group cnc-donetsk",,,,,
"join year","join month","join day","join hour","join minute","join second"
2009,4,19,8,18,35
2009,9,13,15,23,46
2009,5,13,11,51,50
2010,1,23,3,23,5
2010,11,2,12,44,38
2010,2,4,7,52,3
2010,2,10,16,26,8
2009,10,15,6,4,12
2010,7,21,0,46,26
2009,4,19,9,39,17
2009,5,4,4,55,3
2010,2,20,10,26,20
2010,4,19,2,38,57
2010,9,17,14,55,44
2010,2,20,7,27,44
2010,3,22,0,51,43
2009,4,20,4,17,12
2010,10,30,10,52,23
2009,4,19,8,15,12
2010,11,2,4,54,29
2010,11,2,5,55,12
2009,10,15,2,53,8
2010,11,2,6,12,47
2010,11,2,4,55,53
2010,6,20,1,0,2
2009,4,19,9,8,31
2009,11,21,11,50,23
2010,2,17,23,44,58
2010,11,2,15,2,57
2009,6,17,5,58,10
2009,10,14,2,12,41
2010,5,22,23,35,41
2009,4,19,7,28,42
2009,5,16,9,0,34
2010,9,19,17,5,27
2009,8,19,22,44,18
2010,8,4,0,17,34
2010,2,17,8,21,16
2009,5,16,5,6,56
2009,5,16,7,31,15
2010,10,16,11,51,59
2009,4,19,7,56,19
2010,11,2,6,27,33
2010,3,19,0,43,23
2009,4,20,3,15,13
2009,6,17,6,23,8
2009,5,16,11,7,26
2009,9,3,7,32,1
2010,1,4,5,51,52
2010,6,29,10,35,52
2010,10,29,11,55,24
2009,12,3,12,16,38
2010,11,2,8,42,32
2010,10,31,4,44,54
2009,5,13,11,52,47
2009,5,18,2,57,16
2009,4,19,8,30,18
2009,4,19,11,55,8
2009,5,19,4,43,44
2009,4,19,14,16,52
2009,5,14,23,45,0
2009,5,17,8,23,14
2010,6,7,14,38,4
2009,4,27,14,28,43
2010,11,2,6,38,33
2009,7,23,1,34,42
2009,4,20,9,29,15
2010,7,3,13,31,11
2010,8,22,11,20,25
2009,10,28,7,26,14
2009,4,19,10,3,57
2010,3,22,5,2,26
2009,4,21,11,4,24
2010,11,2,3,5,55
